"sharedplate","n_shared","Meal","meal_accuracy","time","hunger","fullness","place_eaten","dish","ingredient","preperation_method","servingsize"
,,"Breakfast",1,"1/0/1900",2,3,"HOME","TEA","TEA LEAVES SUGAR.","BOILED FOR 5 MIN.","1 CUP B"
,,"Breakfast",1,"1/0/1900",2,3,"HOME","VIAZI","VIAZI, SALT","BOILED FOR 15 MIN","1/2 PLATE B"
,,"Morning snack",2,,,,,,,,
,,"Lunch",2,,,,,,,,
,,"Snack afternoon",1,"1/0/1900",3,4,"HOME","SODA","BOUGHT","BOUGHT","FANTA-ORANGE"
,,"Supper",1,"1/0/1900",3,4,"HOME","UGALI","MAIZE FLOUR, WATER","COOKED FOR 30 MIN","SHARED 1 PLATE C"
,,"Supper",1,"1/0/1900",3,4,"HOME","NYAMA","NYAMA, TOMATOE ONION, CARROT, SALT","COOKED FOR 40 MIN.","1 SAURCER B SHARED."
,,"Snack evening",2,,,,,,,,
,,"Night snack",2,,,,,,,,
