"sharedplate","n_shared","Meal","meal_accuracy","time","hunger","fullness","place_eaten","dish","ingredient","preperation_method","servingsize"
,,"Breakfast",1,"1/0/1900",4,5,"HOME","TEA","TEA LEAVES, SUGAR, WATER, MCHAICHAI.","BOILED FOR 25 MINUTES.","CUP C- ONE CUP"
,,"Breakfast",1,"1/0/1900",4,5,"HOME","VITUMBUA","BOUGHT","BOUGHT","THREE VITUMBUA B"
,,"Morning snack",2,,,,,,,,
,,"Lunch",1,"1/0/1900",2,5,"HOME","UGALI","WATER, UNGA WA SEMBE","COOKED FOR 35 MINUTES","PLATE-D"
,,"Lunch",1,"1/0/1900",2,5,"HOME","FRIED FISH","FISH, WATER, SALT, ONION, TOMATOES, COOKING OIL","COOKED FOR 20 MINUTES","THREE FISH FISH B"
,,"Lunch",1,"1/0/1900",2,5,"HOME","SPINACHI","ONION, SALT, TOMATOES, COOKING OIL","COOKED FOR 20 MINUTES","AS SAURCER B MATEMBELE"
,,"Snack afternoon",1,"1/0/1900",1,4,"HOME","ORANGE",,,"TWO ORANGE"
,,"Supper",1,"1/0/1900",1,4,"HOME","WALI","WATER, COOKING OIL, RICE, SALT","COOKED FOR 45 MINUTES","PLATE E"
,,"Supper",1,"1/0/1900",1,4,"HOME","FRIED FISH","WATER, TOMATOES, ONION, SALT, COOKING OIL.","COOKED FOR 20 MINUTES","ONE FISH FISH-B"
,,"Snack evening",2,,,,,,,,
,,"Night snack",2,,,,,,,,
