"sharedplate","n_shared","Meal","meal_accuracy","time","hunger","fullness","place_eaten","dish","ingredient","preperation_method","servingsize"
1,3,"Breakfast",1,"1/0/1900",3,5,"HOME","CHAI","MAJI, SUKARI, MCHAICHAI","BOILING, TEN MINUTES","ONE CUP C"
1,3,"Breakfast",1,"1/0/1900",3,5,"HOME","CHAPATI","UNGA WA NGANO, CHUMVI,MAJI, MAFUTA","FRYING, ONE AND HALF HOUR","THREE CHAPATI B"
2,,"Morning snack",2,"",,,"",,,,
1,3,"Lunch",1,"1/0/1900",5,5,"HOME","UGALI","UNGA WA DONA, MAJI","BOILING, TWENTY MINUTES","PLATE G"
1,3,"Lunch",1,"1/0/1900",5,5,"HOME","DAGAA","DAGAA, CHUMVI,MAFUTA, NYANYA, KITUNGUU, NDIMU","FRYING, THIRTY MINUTES","SAURCER C"
2,,"Snack afternoon",1,"1/0/1900",5,5,"HOME","CHUNGWA","CHUNGWA","EATEN RAW","ONE ORANGE B"
2,,"Supper",1,"1/0/1900",5,5,"HOME","CHAI","BOUGHT","BOUGHT","ONE CUP C"
2,,"Supper",1,"1/0/1900",5,5,"HOME","MAANDAZI","BOUGHT","BOUGHT","THREE ANDAZI C"
2,,"Snack evening",2,"",,,"",,,,
2,,"Night snack",2,"",,,"",,,,
