"sharedplate","n_shared","Meal","meal_accuracy","time","hunger","fullness","place_eaten","dish","ingredient","preperation_method","servingsize"
,,"Breakfast",1,"1/0/1900",3,4,"HOME","CHAI","CHAI, MAJANI YA CHAI, SUKARI,","BOILED FOR 30 MINUTES,","ONE CUP C,"
,,"Breakfast",1,"1/0/1900",3,4,"HOME","ANDAZI","BOUGHT","BOUGHT","TWO ANDAZI B"
,,"Morning snack",2,,,,,,,,
,,"Lunch",1,"1/0/1900",4,5,"HOME","UGALI,","UNGA DONA, MAJI,","COOKED FOR 45 MINUTES,","SHARED  PLATE E"
,,"Lunch",1,"1/0/1900",4,5,"HOME","SAMAKI","SAMAKI, MAFUTA","FRIED FOR 45 MINUTES","ONE FISH C"
,,"Snack afternoon",2,,,,,,,,
,,"Supper",1,"1/0/1900",4,5,"HOME","UGALI","UNGA DONA, MAJI","COOKED FOR 45 MINUTES","UGALI PLATE D"
,,"Supper",1,"1/0/1900",4,5,"HOME","MATEMBELE","MATEMBELE, MAFUTA, CHUMVI","COOKED FOR 15 MINUTES","ONE SAURCER D"
,,"Snack evening",2,,,,,,,,
,,"Night snack",2,,,,,,,,
