"sharedplate","n_shared","Meal","meal_accuracy","time","hunger","fullness","place_eaten","dish","ingredient","preperation_method","servingsize"
,,"Breakfast",1,"1/0/1900",4,3,"HOME","TEA","MCHAICHAI WATER, SUGAR","BOILED FOR 30 MIN","1 CUP C"
,,"Breakfast",1,"1/0/1900",4,3,"HOME","VITUMBUA","BOUGHT","BOUGHT","2 VITUMBUA"
,,"Morning snack",2,"",,,"",,,,
,,"Lunch",1,"1/0/1900",3,2,"HOME","UGALI","MAIZE FLOUR WATER","COOKED FOR 40 MIN.","1 PLATE C"
,,"Lunch",1,"1/0/1900",3,2,"HOME","BEANS","BEAN'S, NAZI ONION, SALT WATER","BOILED FOR 2 HOURS","1 SAURCER B"
,,"Snack afternoon",2,"",,,"",,,,
,,"Supper",1,"1/0/1900",4,3,"HOME","UGALI","MAIZE FLOUR WATER","COOKED FOR 30 MIN","1 PLATE B"
,,"Supper",1,"1/0/1900",4,3,"HOME","BEAN'S","BEAN'S, NAZI ONION'S SALT WATER","BOILED FOR 2 HOUR","1 SAURCER C."
,,"Snack evening",2,"",,,"",,,,
,,"Night snack",2,"",,,"",,,,
