"sharedplate","n_shared","Meal","meal_accuracy","time","hunger","fullness","place_eaten","dish","ingredient","preperation_method","servingsize"
,,"Breakfast",1,"1/0/1900",3,3,"HOME","TEA","ILIKI, SUGAR,","BOILED FOR 15 MIN,","1 CUP C"
,,"Breakfast",1,"1/0/1900",3,3,"HOME","CHAPATI","BOUGHT","BOUGHT","2 CHAPATI B"
,,"Morning snack",2,,,,,,,,
,,"Lunch",1,"1/0/1900",4,4,"HOME","UGALI","MAIZE FLOUR","COOKED FOR 20 MIN","1 UGALI PLATE D."
,,"Lunch",1,"1/0/1900",4,4,"HOME","DAGAA","DAGAA, COOKING LEMON OIL, ONION, TOMATOE","COOKED FOR 20 MIN","1 SAURCER D-DAGAA"
,,"Snack afternoon",2,,,,,,,,
,,"Supper",1,"1/0/1900",4,4,"HOME","WALI (RICE)","RICE, COOKING OIL SALT","COOKED FOR 30MIN","1 PLATE C RICE"
,,"Supper",1,"1/0/1900",4,4,"HOME","MAHARAGE","MAHARAGE, ONION SALT, COCONUT CREAM","COOKED FOR 40 MIN","1 SAURCE B-MAHARAGE"
,,"Snack evening",2,,,,,,,,
,,"Night snack",2,,,,,,,,
