"sharedplate","n_shared","Meal","meal_accuracy","time","hunger","fullness","place_eaten","dish","ingredient","preperation_method","servingsize"
,,"Breakfast",1,"1/0/1900",2,3,"HOME","CHAI","MCHAICHAI MDALASINI SUGAR.","BOILED FOR 10MIN","1 CUP C"
,,"Breakfast",1,"1/0/1900",2,3,"HOME","VITUMBUA","BOUGHT","BOUGHT,","5 VITUMBUA B"
,,"Morning snack",1,"1/0/1900",2,3,"HOME","BOUGHT","BOUGHT","BOUGHT","1 CUP C"
,,"Lunch",1,"1/0/1900",3,4,"HOME","UGALI","MAIZE FLOUR","COOKED FOR 30 MIN.","1 PLATE C"
,,"Lunch",1,"1/0/1900",3,4,"HOME","DAGAA","DAGAA, TOMATOE ONION, SALT","COOKED FOR 45 MIN.","1 SAURCER D"
,,"Lunch",1,"1/0/1900",3,4,"HOME","KISAMVU","KISAMVU, ONION TOMATOE, SALT, COOKING OIL","COOKED FOR 10 MIN.","1 SAURCER D-MCHUNGA"
,,"Snack afternoon",1,"1/0/1900",2,3,"HOME","EMBE","EATEN RAW","EATEN RAW","1 EMBE A"
,,"Supper",1,"1/0/1900",3,4,"HOME","UGALI","MAIZE FLOUR, WATER","COOKED FOR 40 MIN","1 PLATE C"
,,"Supper",1,"1/0/1900",3,4,"HOME","KUKU","KUKU, ONION LEMON, SALT","BOILED FOR 40 MIN","1 CHICKEN B"
,,"Supper",1,"1/0/1900",3,4,"HOME","KISAMVU","KISAMVU, ONION TOMATOE, SALT COOKING OIL","COOKED FOR 15 MIN.","1 SAURCER D MCHUNGA"
,,"Snack evening",2,,,,,,,,
,,"Night snack",2,,,,,,,,
