"sharedplate","n_shared","Meal","meal_accuracy","time","hunger","fullness","place_eaten","dish","ingredient","preperation_method","servingsize"
2,,"Breakfast",1,"1/0/1900",2,3,"HOME","TEA","WATER, IRIKI, TEA LEAVES, SUGAR","BOILED 15 MINUTES,","CUP C ONE CUP"
2,,"Breakfast",1,"1/0/1900",2,3,"HOME","BOILED BANANA","WATER, SALT","BOILED 30 MINUTES","PLATE - D HALF PLATE"
2,,"Morning snack",2,"",,,"",,,,
1,1,"Lunch",1,"1/0/1900",1,4,"HOME","UGALI","WATER MAIZE FLOUR SEMBE","COOKED FOR 30 MINUTES","PLATE A, HALF PLATE"
1,1,"Lunch",1,"1/0/1900",1,4,"HOME","MAJANI YA MABOGA,","WATER TOMATOES SALT COOKING OIL, ONION","COOKED  30 MINUTES","SAURCER D"
1,1,"Lunch",1,"1/0/1900",1,4,"HOME","FRIED FISH","BOUGHT",,"FISH B, THREE FISH"
2,,"Snack afternoon",1,"1/0/1900",1,1,"HOME","HINDI LA KUCHOMA",,"PREPARED FOR 10 MINUTES","ONE PIECE"
2,,"Supper",1,"1/0/1900",1,4,"HOME","WALI","WATER, SALT, COOKING OIL, ILIKI","COOKED ONE HOUR","PLATE A, HALF PLATE"
2,,"Supper",1,"1/0/1900",1,4,"HOME","TEA","WATER MDALASINI, SUGAR TEA LEAVES","BOILED 15 MINUTES","CUP C, ONE CUP"
2,,"Snack evening",2,"",,,"",,,,
2,,"Night snack",2,"",,,"",,,,
