"sharedplate","n_shared","Meal","meal_accuracy","time","hunger","fullness","place_eaten","dish","ingredient","preperation_method","servingsize"
,,"Breakfast",1,"1/0/1900",3,4,"HOME","CHAI","ILIKI, MDALASINI SUKARI","BOILED FOR 30 MINUTES","1 CUP C"
,,"Breakfast",1,"1/0/1900",3,4,"HOME","KEKI","BOUGHT","BOUGHT","BOUGHT"
,,"Morning snack",2,,,,,,,,
,,"Lunch",1,"1/0/1900",3,5,"HOME","UGALI","UNGA SEMBE, MAJI","COOKED FOR 30 MINUTES","1 PLATE B"
,,"Lunch",1,"1/0/1900",3,5,"HOME","DAGAA","DAGAA, NYANYA KITUNGUU, CHUMVI MAFUTA","COOKED FOR 15 MINUTES","1 SAURCER C."
,,"Snack afternoon",2,,,,,,,,
,,"Supper",2,,,,,,,,
,,"Snack evening",2,,,,,,,,
,,"Night snack",2,,,,,,,,
