"sharedplate","n_shared","Meal","meal_accuracy","time","hunger","fullness","place_eaten","dish","ingredient","preperation_method","servingsize"
,,"Breakfast",1,"1/0/1900",2,4,"HOME","CHAI","KARAFUU,SUKARI, MDALASINI, IRIKI,","BOILED FOR 15 MINUTES","CUP C-ONE CUP"
,,"Breakfast",1,"1/0/1900",2,4,"HOME","MAANDAZI","BOUGHT",,"ANDAZI -C, FOUR MAANDAZI"
,,"Morning snack",1,"1/0/1900",1,2,"HOME","NDIZI MBIVU",,,"PLATE -A, TWO NDIZI MBIVU"
,,"Lunch",1,"1/0/1900",1,4,"HOME","UGALI","WATER,MAIZE, FLOUR SEMBE","COOKED FOR 30 MINUTES","PLATE -F,"
,,"Lunch",1,"1/0/1900",1,4,"HOME","FRIED, NYAMA YA NG'OMBE,","COOKING OIL, SALT","FRIED FOR 20 MINUTES","PLATE-A"
,,"Lunch",1,"1/0/1900",1,4,"HOME","KABEJI","COOKING OIL, KITUNGUU, NYANYA, CARROT","COOKED FOR TWENTY MINUTES","PLATE-A"
,,"Snack afternoon",1,"1/0/1900",1,2,"HOME","SUGAR CANE","BOUGHT",,"PLATE C"
,,"Supper",1,"1/0/1900",2,4,"HOME","PILAU","VITUNGUU, VITUNGUU SWAUMU, IRIKI, MDALASINI, BINZARI, VIAZI MVIRINGO, SALT, COOKING OIL","COOKED FOR 1 HOUR","PLATE AS RICE SHARED PLATE E"
,,"Supper",1,"1/0/1900",2,4,"HOME","FRIED COW'S MEAT","COOKING OIL, SALT","COOKED FOR TWENTY MINUTES","PLATE -A"
,,"Snack evening",2,,,,,,,,
,,"Night snack",2,,,,,,,,
