"sharedplate","n_shared","Meal","meal_accuracy","time","hunger","fullness","place_eaten","dish","ingredient","preperation_method","servingsize"
,,"Breakfast",1,"1/0/1900",5,3,"HOME","CHAI","ILIKI SUKARI MDALASINI TANGAWIZI KARAFUU MAJI","BOILED FOR 15 MINUTES.","CUP C ONE CUP."
,,"Breakfast",1,"1/0/1900",5,3,"HOME","MAANDAZI","COOKING OIL SUKARI PAKING POWDER SALT HAMIRA NGANO","FRIED FOR 1 1/2 HOUR","ANDAZI - C THREE MAANDAZI"
,,"Morning snack",2,,,,,,,,
,,"Lunch",1,"1/0/1900",2,5,"HOME","NDIZI","MAJI, ONION, COOKING OIL,","COOKED FOR 45 MINUTES.","PLATE-C"
,,"Lunch",1,"1/0/1900",2,5,"HOME","NYAMA YA MBUZI,","NYANYA, CARROTE, PILIPILI HOHO, SALT. MAJI, SALT, TANGAWIZI.","COOKED FOR 30 MINUTES.","NYAMA YA MBUZI AS BEEF SAUCE SAURCER-C"
,,"Lunch",1,"1/0/1900",2,5,"HOME","SODA FANTA PASSION","BOUGHT",,"350MLS"
,,"Snack afternoon",2,,,,,,,,
,,"Supper",1,"1/0/1900",2,4,"HOME","WALI","MAJI, COOKING OIL, SALT, VIAZI MVIRINGO","COOKED FOR 1 HOUR","PLATE C"
,,"Supper",1,"1/0/1900",2,4,"HOME","MAHARAGE","MAJI, KITUNGUU, COOKING OIL, PILIPILI HOHO, CARROTE","COOKED FOR 1 1/2 HOUR","SAURCER - C"
,,"Snack evening",2,,,,,,,,
,,"Night snack",2,,,,,,,,
