"sharedplate","n_shared","Meal","meal_accuracy","time","hunger","fullness","place_eaten","dish","ingredient","preperation_method","servingsize"
,,"Breakfast",1,"1/0/1900",2,4,"HOME","TEA","TEA LEAVES, SUGAR MDALASINI","BOILED FOR 10 MIN","1 CUP C"
,,"Breakfast",1,"1/0/1900",2,4,"HOME","NDIZI","BOILED BANANA","BOILED FOR 30 MIN",
,,"Morning snack",2,"",,,"",,,,
,,"Lunch",1,"1/0/1900",3,3,"HOME","UGALI","UGALI, MAIZE FLOUR","COOKED FOR 20 MIN","1 PLATE D"
,,"Lunch",1,"1/0/1900",3,3,"HOME","SAMAKI","SAMAKI, ONION NYANYA, SALT","COOKED FOR 20 MIN.","2 SAMAKI B"
,,"Snack afternoon",2,"",,,"",,,,
,,"Supper",1,"1/0/1900",2,2,"HOME","UGALI","MAIZE FLOUR, WATER","COOKED FOR 30 MIN","1 PLATE D"
,,"Supper",1,"1/0/1900",2,2,"HOME","SAMAKI","SAMAKI, NYANYA COOKING OIL, SALT","COOKED FOR 30 MIN","2 SAMAKI B"
,,"Snack evening",2,"",,,"",,,,
,,"Night snack",2,"",,,"",,,,
