"sharedplate","n_shared","Meal","meal_accuracy","time","hunger","fullness","place_eaten","dish","ingredient","preperation_method","servingsize"
,,"Breakfast",1,"1/0/1900",3,3,"HOME","TEA","MCHAICHAI, SUGAR, WATER","BOILED FOR 20 MIN,","1 CUP B"
,,"Breakfast",1,"1/0/1900",3,3,"HOME","MAGIMBI","MAGIMBI, WATER, SALT","BOILED FOR 30 MIN","1 PLATE B"
,,"Morning snack",2,,,,,,,,
,,"Lunch",1,"1/0/1900",3,3,"HOME","UGALI","MAIZE FLOUR, WATER","COOKED FOR 20MIN","1 PLATE B"
,,"Lunch",1,"1/0/1900",3,3,"HOME","SAMAKI","FISH, ONION, SALT, TOMATOES, OIL, CARROT, HOHO","COOKED FOR 30 MIN","2 SAMAKI B"
,,"Snack afternoon",2,,,,,,,,
,,"Supper",1,"1/0/1900",3,3,"HOME","WALI","RICE, WATER, SALT, OIL","BOILED FOR 50 MIN","1 PLATE B"
,,"Supper",1,"1/0/1900",3,3,"HOME","SAMAKI","FISH, ONION, SALT, TOMATOES, HOHO, CARROT, COOKING OIL","COOKED FOR 30 MIN","2 SAMAKI B"
,,"Snack evening",2,,,,,,,,
,,"Night snack",2,,,,,,,,
