"sharedplate","n_shared","Meal","meal_accuracy","time","hunger","fullness","place_eaten","dish","ingredient","preperation_method","servingsize"
,,"Breakfast",1,"1/0/1900",4,5,"HOME","CHAI","SUKARI, MDALASINI, WATER,","BOILED FOR TEN MINUTES,","CUP-C, TWO CUPS"
,,"Breakfast",1,"1/0/1900",4,5,"HOME","KEKI","BOUGHT",,"KEKI B, THREE KEKI"
,,"Morning snack",2,,,,,,,,
,,"Lunch",1,"1/0/1900",5,5,"HOME","UGALI","WATER, MAIZE FLOUR SEMBE,","COOKED FOR 35 MINUTES","PLATE -D"
,,"Lunch",1,"1/0/1900",5,5,"HOME","SAMAKI WAKAVU","COOKING OIL, ONION, SALT, NYANYA, BAMIA","COOKED FOR 30 MINUTES","FISH-B, ONE-FISH"
,,"Snack afternoon",1,"1/0/1900",4,4,"HOME","JUICE AFYA","BOUGHT",,"300MLS"
,,"Supper",1,"1/0/1900",2,5,"HOME","WALI","COOKING OIL ILIKI SALT WATER","COOKED FOR 1HOUR","PLATE E"
,,"Supper",1,"1/0/1900",2,5,"HOME","MAHARAGE","COOKING OIL, SALT, ONION","COOKED FOR 1 HOUR","SAURCER -C"
,,"Snack evening",2,,,,,,,,
,,"Night snack",2,,,,,,,,
