"sharedplate","n_shared","Meal","meal_accuracy","time","hunger","fullness","place_eaten","dish","ingredient","preperation_method","servingsize"
,,"Breakfast",1,"1/0/1900",4,3,"HOME","TEA","MDALASINI, KARAFU, WATER, SUGAR.","BOILED FOR 40 MIN","1 CUP C"
,,"Breakfast",1,"1/0/1900",4,3,"HOME","MANDAZI","BOUGHT","BOUGHT","5 ANDAZI A"
,,"Morning snack",2,"",,,"",,,,
,,"Lunch",1,"1/0/1900",3,2,"HOME","UGALI","MAIZE FLOUR, WATER.","COOKED FOR 50 MIN.","1 PLATE C."
,,"Lunch",1,"1/0/1900",3,2,"HOME","DAGAA","DAGAA, ONION, TOMATOES, SALT, COOKING OIL, CARROTS","COOKED FOR 30 MIN","1 SAURCER B"
,,"Snack afternoon",2,"",,,"",,,,
,,"Supper",1,"1/0/1900",4,3,"HOME","WALI","RICE, WATER, COCONUT OIL","BOILED FOR 1 HOUR","1 PLATE B"
,,"Supper",1,"1/0/1900",4,3,"HOME","BEANS","BEANS, ONION, COCONUT OIL, SALT","BOILED AND COOKED FOR 2 HOURS","1 SAURCER A"
,,"Snack evening",2,"",,,"",,,,
,,"Night snack",2,"",,,"",,,,
