"sharedplate","n_shared","Meal","meal_accuracy","time","hunger","fullness","place_eaten","dish","ingredient","preperation_method","servingsize"
,,"Breakfast",1,"1/0/1900",1,3,"HOME","UJI","UNGA WA MAHINDI SEMBE SUGAR, MAJI","COOKED FOR TWENTY MINUTES","CUP B - ONE CUP"
,,"Morning snack",2,,,,,,,,
,,"Lunch",1,"1/0/1900",3,5,"HOME","UGALI","MAJI MAIZE FLOUR SEMBE","COOKED FOR 35 MINUTES","PLATE-E"
,,"Lunch",1,"1/0/1900",3,5,"HOME","MLENDA,","BAMIA NYANYA SALT MAJI","COOKED FOR 15 MINUTES","AS BAMIA SAURCER B"
,,"Lunch",1,"1/0/1900",3,5,"HOME","SAMAKI FLIED","SALT LIMAO, COOKING OIL","FLIED FOR TWENTY MINUTES","FISH-D TWO FISHES"
,,"Snack afternoon",1,"1/0/1900",1,2,"HOME","SUGAR-CANE","BOUGHT",,"PLATE-C AND PLATE D"
,,"Supper",1,"1/0/1900",2,5,"HOME","UGALI","WATER MAIZE FLOUR SEMBE","COOKED FOR 40 MINUTES","PLATE E"
,,"Supper",1,"1/0/1900",2,5,"HOME","NYAMA  YA KUKU","WATER LIMAO SALT","COOKED FOR 1 HOUR","CHICKEN -A"
,,"Snack evening",1,"1/0/1900",3,5,"HOME","TEA","WATER MAJANI YA CHAI MDALASINI","BOILED. FOR 10 MINUTES","CUP C-ONE CUP"
,,"Snack evening",1,"1/0/1900",3,5,"HOME","MANDAZI","BOUGHT",,"ANDAZI D"
,,"Night snack",2,,,,,,,,
