"sharedplate","n_shared","Meal","meal_accuracy","time","hunger","fullness","place_eaten","dish","ingredient","preperation_method","servingsize"
2,,"Breakfast",1,"1/0/1900",2,3,"HOME","CHAI","SUKARI TANGAWIZI","BOILED FOR TWENTY MINUTES","CUP -C ONE"
2,,"Breakfast",1,"1/0/1900",2,3,"HOME","MAANDAZI","BOUGHT","BOUGHT","THREE MAANDAZI MAANDAZI - A"
2,,"Morning snack",1,"1/0/1900",1,2,"HOME","JUICE YA PASSION","BOUGHT","BOUGHT","CUP B - ONE"
1,1,"Lunch",1,"1/0/1900",4,5,"HOME","UGALI","MAIZE FLOUR SEMBE WATER","COOKED FOR 30 MINUTES","PLATE B- ONE"
1,1,"Lunch",1,"1/0/1900",4,5,"HOME","MAHARAGE","SALT ONION TUI LA NAZI","COOKED FOR 1 1/12 HOUR","PLATE C - ONE"
2,,"Snack afternoon",1,"1/0/1900",1,1,"HOME","AVOCADO","BOUGHT","BOUGHT","PORTION A ONE AVOCADO"
1,1,"Supper",1,"1/0/1900",4,4,"HOME","WALI","TUI LA NAZI SALT ILIKI WATER","COOKED FOR 1 HOUR","PLATE A-ONE"
1,1,"Supper",1,"1/0/1900",4,4,"HOME","MAHARAGE","TUI LA NAZI SALT ONION","COOKED FOR 1 1/2 HOUR","PLATE C- ONE"
2,,"Snack evening",2,"",,,"",,,,
2,,"Night snack",2,"",,,"",,,,
